chapterIndex	verseIndex	wordIndex	lb
10	2	2	لِلنَّاسِ
10	2	20	رَبِّهِمْ
10	2	21	قَالَ
10	2	22	الْكَافِرُونَ
10	2	23	إِنَّ
10	2	24	هَٰذَا
10	2	25	لَسَاحِرٌ
10	2	26	مُبِينٌ
10	2	3	عَجَبًا
10	2	4	أَنْ
10	2	5	أَوْحَيْنَا
10	2	6	إِلَىٰ
10	2	7	رَجُلٍ
10	2	8	مِنْهُمْ
10	2	9	أَنْ
10	20	1	وَيَقُولُونَ
10	20	10	الْغَيْبُ
10	20	11	لِلَّهِ
10	20	12	فَانْتَظِرُوا
10	20	13	إِنِّي
10	20	14	مَعَكُمْ
10	20	15	مِنَ
10	20	16	الْمُنْتَظِرِينَ
10	20	2	لَوْلَا
10	20	3	أُنْزِلَ
10	20	4	عَلَيْهِ
10	20	5	آيَةٌ
10	20	6	مِنْ
10	20	7	رَبِّهِ
10	20	8	فَقُلْ
10	20	9	إِنَّمَا
10	21	1	وَإِذَا
10	21	10	لَهُمْ
10	21	11	مَكْرٌ
10	21	12	فِي
10	21	13	آيَاتِنَا
10	21	14	قُلِ
10	21	15	اللَّهُ
10	21	16	أَسْرَعُ
10	21	17	مَكْرًا
10	21	18	إِنَّ
10	21	19	رُسُلَنَا
10	21	2	أَذَقْنَا
10	21	20	يَكْتُبُونَ
10	21	21	مَا
10	21	22	تَمْكُرُونَ
10	21	3	النَّاسَ
10	21	4	رَحْمَةً
10	21	5	مِنْ
10	21	6	بَعْدِ
10	21	7	ضَرَّاءَ
10	21	8	مَسَّتْهُمْ
10	21	9	إِذَا
10	22	1	هُوَ
10	22	10	فِي
10	22	11	الْفُلْكِ
10	22	12	وَجَرَيْنَ
10	22	13	بِهِمْ
10	22	14	بِرِيحٍ
10	22	15	طَيِّبَةٍ
10	22	16	وَفَرِحُوا
10	22	17	بِهَا
10	22	18	جَاءَتْهَا
10	22	19	رِيحٌ
10	22	2	الَّذِي
10	22	20	عَاصِفٌ
10	22	21	وَجَاءَهُمُ
10	22	22	الْمَوْجُ
10	22	23	مِنْ
10	22	24	كُلِّ
10	22	25	مَكَانٍ
10	22	26	وَظَنُّوا
10	22	27	أَنَّهُمْ
10	22	28	أُحِيطَ
10	22	29	بِهِمْ
10	22	3	يُسَيِّرُكُمْ
10	22	30	دَعَوُا
10	22	31	اللَّهَ
10	22	32	مُخْلِصِينَ
10	22	33	لَهُ
10	22	34	الدِّينَ
10	22	35	لَئِنْ
10	22	36	أَنْجَيْتَنَا
10	22	37	مِنْ
10	22	38	هَٰذِهِ
10	22	39	لَنَكُونَنَّ
10	22	4	فِي
10	22	40	مِنَ
10	22	41	الشَّاكِرِينَ
10	22	5	الْبَرِّ
10	22	6	وَالْبَحْرِ
10	22	7	حَتَّىٰ
10	22	8	إِذَا
10	22	9	كُنْتُمْ
10	23	1	فَلَمَّا
10	23	10	يَا
10	23	11	أَيُّهَا
10	23	12	النَّاسُ
10	23	13	إِنَّمَا
10	23	14	بَغْيُكُمْ
10	23	15	عَلَىٰ
10	23	16	أَنْفُسِكُمْ
10	23	17	مَتَاعَ
10	23	18	الْحَيَاةِ
10	23	19	الدُّنْيَا
10	23	2	أَنْجَاهُمْ
10	23	20	ثُمَّ
10	23	21	إِلَيْنَا
10	23	22	مَرْجِعُكُمْ
10	23	23	فَنُنَبِّئُكُمْ
10	23	24	بِمَا
10	23	25	كُنْتُمْ
10	23	26	تَعْمَلُونَ
10	23	3	إِذَا
10	23	4	هُمْ
10	23	5	يَبْغُونَ
10	23	6	فِي
10	23	7	الْأَرْضِ
10	23	8	بِغَيْرِ
10	23	9	الْحَقِّ
10	24	1	إِنَّمَا
10	24	10	بِهِ
10	24	11	نَبَاتُ
10	24	12	الْأَرْضِ
10	24	13	مِمَّا
10	24	14	يَأْكُلُ
10	24	15	النَّاسُ
10	24	16	وَالْأَنْعَامُ
10	24	17	حَتَّىٰ
10	24	18	إِذَا
10	24	19	أَخَذَتِ
10	24	2	مَثَلُ
10	24	20	الْأَرْضُ
10	24	21	زُخْرُفَهَا
10	24	22	وَازَّيَّنَتْ
10	24	23	وَظَنَّ
10	24	24	أَهْلُهَا
10	24	25	أَنَّهُمْ
10	24	26	قَادِرُونَ
10	24	27	عَلَيْهَا
10	24	28	أَتَاهَا
10	24	29	أَمْرُنَا
10	24	3	الْحَيَاةِ
10	24	30	لَيْلًا
10	24	31	أَوْ
10	24	32	نَهَارًا
10	24	33	فَجَعَلْنَاهَا
10	24	34	حَصِيدًا
10	24	35	كَأَنْ
10	24	36	لَمْ
10	24	37	تَغْنَ
10	24	38	بِالْأَمْسِ
10	24	39	كَذَٰلِكَ
10	24	4	الدُّنْيَا
10	24	40	نُفَصِّلُ
10	24	41	الْآيَاتِ
10	24	42	لِقَوْمٍ
10	24	43	يَتَفَكَّرُونَ
10	24	5	كَمَاءٍ
10	24	6	أَنْزَلْنَاهُ
10	24	7	مِنَ
10	24	8	السَّمَاءِ
10	24	9	فَاخْتَلَطَ
10	25	1	وَاللَّهُ
10	25	10	صِرَاطٍ
10	25	11	مُسْتَقِيمٍ
10	25	2	يَدْعُو
10	25	3	إِلَىٰ
10	25	4	دَارِ
10	25	5	السَّلَامِ
10	25	6	وَيَهْدِي
10	25	7	مَنْ
10	25	8	يَشَاءُ
10	25	9	إِلَىٰ
10	26	1	لِلَّذِينَ
10	26	10	ذِلَّةٌ
10	26	11	أُولَٰئِكَ
10	26	12	أَصْحَابُ
10	26	13	الْجَنَّةِ
10	26	14	هُمْ
10	26	15	فِيهَا
10	26	16	خَالِدُونَ
10	26	2	أَحْسَنُوا
10	26	3	الْحُسْنَىٰ
10	26	4	وَزِيَادَةٌ
10	26	5	وَلَا
10	26	6	يَرْهَقُ
10	26	7	وُجُوهَهُمْ
10	26	8	قَتَرٌ
10	26	9	وَلَا
10	27	1	وَالَّذِينَ
10	27	10	لَهُمْ
10	27	11	مِنَ
10	27	12	اللَّهِ
10	27	13	مِنْ
10	27	14	عَاصِمٍ
10	27	15	كَأَنَّمَا
10	27	16	أُغْشِيَتْ
10	27	17	وُجُوهُهُمْ
10	27	18	قِطَعًا
10	27	19	مِنَ
10	27	2	كَسَبُوا
10	27	20	اللَّيْلِ
10	27	21	مُظْلِمًا
10	27	22	أُولَٰئِكَ
10	27	23	أَصْحَابُ
10	27	24	النَّارِ
10	27	25	هُمْ
10	27	26	فِيهَا
10	27	27	خَالِدُونَ
10	27	3	السَّيِّئَاتِ
10	27	4	جَزَاءُ
10	27	5	سَيِّئَةٍ
10	27	6	بِمِثْلِهَا
10	27	7	وَتَرْهَقُهُمْ
10	27	8	ذِلَّةٌ
10	27	9	مَا
10	28	1	وَيَوْمَ
10	28	10	وَشُرَكَاؤُكُمْ
10	28	11	فَزَيَّلْنَا
10	28	12	بَيْنَهُمْ
10	28	13	وَقَالَ
10	28	14	شُرَكَاؤُهُمْ
10	28	15	مَا
10	28	16	كُنْتُمْ
10	28	17	إِيَّانَا
10	28	18	تَعْبُدُونَ
10	28	2	نَحْشُرُهُمْ
10	28	3	جَمِيعًا
10	28	4	ثُمَّ
10	28	5	نَقُولُ
10	28	6	لِلَّذِينَ
10	28	7	أَشْرَكُوا
10	28	8	مَكَانَكُمْ
10	28	9	أَنْتُمْ
10	29	1	فَكَفَىٰ
10	29	10	لَغَافِلِينَ
10	29	2	بِاللَّهِ
10	29	3	شَهِيدًا
10	29	4	بَيْنَنَا
10	29	5	وَبَيْنَكُمْ
10	29	6	إِنْ
10	29	7	كُنَّا
10	29	8	عَنْ
10	29	9	عِبَادَتِكُمْ
10	3	1	إِنَّ
10	3	10	أَيَّامٍ
10	3	11	ثُمَّ
10	3	12	اسْتَوَىٰ
10	3	13	عَلَى
10	3	14	الْعَرْشِ
10	3	15	يُدَبِّرُ
10	3	16	الْأَمْرَ
10	3	17	مَا
10	3	18	مِنْ
10	3	19	شَفِيعٍ
10	3	2	رَبَّكُمُ
10	3	20	إِلَّا
10	3	21	مِنْ
10	3	22	بَعْدِ
10	3	23	إِذْنِهِ
10	3	24	ذَٰلِكُمُ
10	3	25	اللَّهُ
10	3	26	رَبُّكُمْ
10	3	27	فَاعْبُدُوهُ
10	3	28	أَفَلَا
10	3	29	تَذَكَّرُونَ
10	3	3	اللَّهُ
10	3	4	الَّذِي
10	3	5	خَلَقَ
10	3	6	السَّمَاوَاتِ
10	3	7	وَالْأَرْضَ
10	3	8	فِي
10	3	9	سِتَّةِ
10	30	1	هُنَالِكَ
10	30	10	مَوْلَاهُمُ
10	30	11	الْحَقِّ
10	30	12	وَضَلَّ
10	30	13	عَنْهُمْ
10	30	14	مَا
10	30	15	كَانُوا
10	30	16	يَفْتَرُونَ
10	30	2	تَبْلُو
10	30	3	كُلُّ
10	30	4	نَفْسٍ
10	30	5	مَا
10	30	6	أَسْلَفَتْ
10	30	7	وَرُدُّوا
10	30	8	إِلَى
10	30	9	اللَّهِ
10	31	1	قُلْ
10	31	10	وَالْأَبْصَارَ
10	31	11	وَمَنْ
10	31	12	يُخْرِجُ
10	31	13	الْحَيَّ
10	31	14	مِنَ
10	31	15	الْمَيِّتِ
10	31	16	وَيُخْرِجُ
10	31	17	الْمَيِّتَ
10	31	18	مِنَ
10	31	19	الْحَيِّ
10	31	2	مَنْ
10	31	20	وَمَنْ
10	31	21	يُدَبِّرُ
10	31	22	الْأَمْرَ
10	31	23	فَسَيَقُولُونَ
10	31	24	اللَّهُ
10	31	25	فَقُلْ
10	31	26	أَفَلَا
10	31	27	تَتَّقُونَ
10	31	3	يَرْزُقُكُمْ
10	31	4	مِنَ
10	31	5	السَّمَاءِ
10	31	6	وَالْأَرْضِ
10	31	7	أَمَّنْ
10	31	8	يَمْلِكُ
10	31	9	السَّمْعَ
10	32	1	فَذَٰلِكُمُ
10	32	10	فَأَنَّىٰ
10	32	11	تُصْرَفُونَ
10	32	2	اللَّهُ
10	32	3	رَبُّكُمُ
10	32	4	الْحَقُّ
10	32	5	فَمَاذَا
10	32	6	بَعْدَ
10	32	7	الْحَقِّ
10	32	8	إِلَّا
10	32	9	الضَّلَالُ
10	33	1	كَذَٰلِكَ
10	33	10	يُؤْمِنُونَ
10	33	2	حَقَّتْ
10	33	3	كَلِمَتُ
10	33	4	رَبِّكَ
10	33	5	عَلَى
10	33	6	الَّذِينَ
10	33	7	فَسَقُوا
10	33	8	أَنَّهُمْ
10	33	9	لَا
10	34	1	قُلْ
10	34	10	قُلِ
10	34	11	اللَّهُ
10	34	12	يَبْدَأُ
10	34	13	الْخَلْقَ
10	34	14	ثُمَّ
10	34	15	يُعِيدُهُ
10	34	16	فَأَنَّىٰ
10	34	17	تُؤْفَكُونَ
10	34	2	هَلْ
10	34	3	مِنْ
10	34	4	شُرَكَائِكُمْ
10	34	5	مَنْ
10	34	6	يَبْدَأُ
10	34	7	الْخَلْقَ
10	34	8	ثُمَّ
10	34	9	يُعِيدُهُ
10	35	1	قُلْ
10	35	10	اللَّهُ
10	35	11	يَهْدِي
10	35	12	لِلْحَقِّ
10	35	13	أَفَمَنْ
10	35	14	يَهْدِي
10	35	15	إِلَى
10	35	16	الْحَقِّ
10	35	17	أَحَقُّ
10	35	18	أَنْ
10	35	19	يُتَّبَعَ
10	35	2	هَلْ
10	35	20	أَمَّنْ
10	35	21	لَا
10	35	22	يَهِدِّي
10	35	23	إِلَّا
10	35	24	أَنْ
10	35	25	يُهْدَىٰ
10	35	26	فَمَا
10	35	27	لَكُمْ
10	35	28	كَيْفَ
10	35	29	تَحْكُمُونَ
10	35	3	مِنْ
10	35	4	شُرَكَائِكُمْ
10	35	5	مَنْ
10	35	6	يَهْدِي
10	35	7	إِلَى
10	35	8	الْحَقِّ
10	35	9	قُلِ
10	36	1	وَمَا
10	36	10	مِنَ
10	36	11	الْحَقِّ
10	36	12	شَيْئًا
10	36	13	إِنَّ
10	36	14	اللَّهَ
10	36	15	عَلِيمٌ
10	36	16	بِمَا
10	36	17	يَفْعَلُونَ
10	36	2	يَتَّبِعُ
10	36	3	أَكْثَرُهُمْ
10	36	4	إِلَّا
10	36	5	ظَنًّا
10	36	6	إِنَّ
10	36	7	الظَّنَّ
10	36	8	لَا
10	36	9	يُغْنِي
10	37	1	وَمَا
10	37	10	وَلَٰكِنْ
10	37	11	تَصْدِيقَ
10	37	12	الَّذِي
10	37	13	بَيْنَ
10	37	14	يَدَيْهِ
10	37	15	وَتَفْصِيلَ
10	37	16	الْكِتَابِ
10	37	17	لَا
10	37	18	رَيْبَ
10	37	19	فِيهِ
10	37	2	كَانَ
10	37	20	مِنْ
10	37	21	رَبِّ
10	37	22	الْعَالَمِينَ
10	37	3	هَٰذَا
10	37	4	الْقُرْآنُ
10	37	5	أَنْ
10	37	6	يُفْتَرَىٰ
10	37	7	مِنْ
10	37	8	دُونِ
10	37	9	اللَّهِ
10	38	1	أَمْ
10	38	10	اسْتَطَعْتُمْ
10	38	11	مِنْ
10	38	12	دُونِ
10	38	13	اللَّهِ
10	38	14	إِنْ
10	38	15	كُنْتُمْ
10	38	16	صَادِقِينَ
10	38	2	يَقُولُونَ
10	38	3	افْتَرَاهُ
10	38	4	قُلْ
10	38	5	فَأْتُوا
10	38	6	بِسُورَةٍ
10	38	7	مِثْلِهِ
10	38	8	وَادْعُوا
10	38	9	مَنِ
10	39	1	بَلْ
10	39	10	كَذَٰلِكَ
10	39	11	كَذَّبَ
10	39	12	الَّذِينَ
10	39	13	مِنْ
10	39	14	قَبْلِهِمْ
10	39	15	فَانْظُرْ
10	39	16	كَيْفَ
10	39	17	كَانَ
10	39	18	عَاقِبَةُ
10	39	19	الظَّالِمِينَ
10	39	2	كَذَّبُوا
10	39	3	بِمَا
10	39	4	لَمْ
10	39	5	يُحِيطُوا
10	39	6	بِعِلْمِهِ
10	39	7	وَلَمَّا
10	39	8	يَأْتِهِمْ
10	39	9	تَأْوِيلُهُ
10	4	1	إِلَيْهِ
10	4	10	ثُمَّ
10	4	11	يُعِيدُهُ
10	4	12	لِيَجْزِيَ
10	4	13	الَّذِينَ
10	4	14	آمَنُوا
10	4	15	وَعَمِلُوا
10	4	16	الصَّالِحَاتِ
10	4	17	بِالْقِسْطِ
10	4	18	وَالَّذِينَ
10	4	19	كَفَرُوا
10	4	2	مَرْجِعُكُمْ
10	4	20	لَهُمْ
10	4	21	شَرَابٌ
10	4	22	مِنْ
10	4	23	حَمِيمٍ
10	4	24	وَعَذَابٌ
10	4	25	أَلِيمٌ
10	4	26	بِمَا
10	4	27	كَانُوا
10	4	28	يَكْفُرُونَ
10	4	3	جَمِيعًا
10	4	4	وَعْدَ
10	4	5	اللَّهِ
10	4	6	حَقًّا
10	4	7	إِنَّهُ
10	4	8	يَبْدَأُ
10	4	9	الْخَلْقَ
10	40	1	وَمِنْهُمْ
10	40	10	وَرَبُّكَ
10	40	11	أَعْلَمُ
10	40	12	بِالْمُفْسِدِينَ
10	40	2	مَنْ
10	40	3	يُؤْمِنُ
10	40	4	بِهِ
10	40	5	وَمِنْهُمْ
10	40	6	مَنْ
10	40	7	لَا
10	40	8	يُؤْمِنُ
10	40	9	بِهِ
10	41	1	وَإِنْ
10	41	10	مِمَّا
10	41	11	أَعْمَلُ
10	41	12	وَأَنَا
10	41	13	بَرِيءٌ
10	41	14	مِمَّا
10	41	15	تَعْمَلُونَ
10	41	2	كَذَّبُوكَ
10	41	3	فَقُلْ
10	41	4	لِي
10	41	5	عَمَلِي
10	41	6	وَلَكُمْ
